Iterations;Exec_Time_Micro;Amount_Rec_events;Aver_R_Time_per_event
1;744,7336;0;0
2;1176,9078;0;0
3;1536,849;0;0
4;1862,5113;0;0
5;2238,1618;0;0
6;2592,3701;0;0
7;2911,1892;0;0
8;3239,7994;0;0
9;3551,4154;0;0
10;3876,7381;0;0
1;393,50575;0;0
2;734,5869;0;0
3;1064,44192;0;0
4;1397,52294;0;0
5;1733,25289;0;0
6;2069,73856;0;0
7;2399,5997;0;0
8;2734,95244;0;0
9;3116,68225;0;0
10;3470,99229;0;0
1;350,245512;0;0
2;685,282007;0;0
3;1020,970725;0;0
4;1356,944267;0;0
5;1698,418387;0;0
6;2019,790068;0;0
7;2314,30117;0;0
8;2580,167628;0;0
9;2854,260217;0;0
10;3119,14153;0;0
